,app,$,val
6840,LGV Theory Test and Hazard Perception,price,9.99
4398,Inspiration Maps VPP,price,9.99
3222,iMaschine 2,price,9.99
4019,Pythonista 3,price,9.99
1651,RadarScope,price,9.99
3836,Air Display 3,price,9.99
4007,Sun Surveyor - Sun & Moon Visualization Tool,price,9.99
410,SCRABBLE Premium for iPad,price,9.99
6742,ＣＲスーパー海物語ＩＮ沖縄４,price,9.99
6095,FunBridge Quiz 3,price,8.99
4146,edjing Pro DJ Music Mixer: turntable to remix MP3,price,8.99
4980,Football Manager Mobile 2017,price,8.99
6027,mazec - 手書き日本語入力ソフト,price,8.99
2956,The Photographer's Ephemeris,price,8.99
3766,VinoCell: manage your wine cellar like a pro,price,8.99
987,Endless Alphabet,price,8.99
3230,Youtubers Life - Gaming Channel,price,8.99
2115,Graphic - illustration and design,price,8.99
3162,MetaMoJi Note - note taking and PDF annotation app,price,7.99
2113,WWE 2K,price,7.99
6888,Jourist Weltübersetzer,price,7.99
1809,FINAL FANTASY II,price,7.99
5137,Timelines - Time Tracking,price,7.99
1903,NBA 2K17,price,7.99
4115,Monash University Low FODMAP Diet,price,7.99
3756,Planimeter - Measure Land Area and Distance on a Map,price,7.99
4800,Sorted - Quickly Organise Your Day,price,7.99
2176,My Measures PRO,price,7.99
6848,デビルサバイバー２ 最後の７日間,price,7.99
5691,DragonBox Big Numbers,price,7.99
5206,Demon's Rise 2: Lords of Chaos,price,7.99
1504,Oceanhorn ™,price,7.99
1299,FINAL FANTASY,price,7.99
5200,Carbo - Handwriting in the Digital Age,price,7.99
206,SCRABBLE Premium,price,7.99
6707,戦国乙女2～深淵に輝く気高き将星～,price,7.99
4179,Shin Megami Tensei (ENG),price,7.99
6210,Dictionnaire Le Robert Mobile : 4 en 1,price,7.99
1223,GoodNotes 4 - Notes & PDF,price,7.99
2387,My Movies Pro - Movie & TV Collection Library,price,7.99
6318,ポケット戦国 -戦略と戦術で歴史を作れ！-【本格派 戦国シミュレーション】,price,7.99
3541,CamCard HD -business card scanner & reader,price,7.99
2608,Secret of Mana,price,7.99
2624,"Papers, Please",price,7.99
2365,Titan Quest,price,7.99
2702,Consultant Aide,price,7.99
5611,AirParrot Remote,price,7.99
7148,ABRSM Aural Trainer Grades 1-5,price,7.99
2686,Classic Explain Everything™,price,7.99
5420,DragonBox Numbers,price,7.99
2666,Genius Scan+ - PDF Scanner,price,7.99
4845,Fear for Sale: Endless Voyage HD - A Mystery Hidden Object Game (Full),price,6.99
4854,Haunted Legends: The Dark Wishes - A Hidden Object Mystery (Full),price,6.99
2482,Family Feud™ HD,price,6.99
4722,Dark Realm: Princess of Ice HD - A Mystery Hidden Object Game (Full),price,6.99
5108,Sea of Lies: Tide of Treachery - A Hidden Object Mystery (Full),price,6.99
4424,Redemption Cemetery: The Island of the Lost - A Mystery Hidden Object Adventure (Full),price,6.99
4580,Fear For Sale: The 13 Keys HD - A Scary Hidden Object Mystery (Full),price,6.99
4856,Myths of the World: The Whispering Marsh - A Mystery Hidden Object Game (Full),price,6.99
4855,Hidden Expedition: The Fountain of Youth (Full),price,6.99
7097,花しらべ 花認識/花検索,price,6.99
4929,Dead Reckoning: The Crescent Case - A Mystery Hidden Object Game (Full),price,6.99
4993,Labyrinths of the World: Forbidden Muse HD - A Mystery Hidden Object Game (Full),price,6.99
4730,Labyrinths of the World: Changing the Past HD - A Mystery Hidden Object Game (Full),price,6.99
5271,We Maps,price,6.99
3004,Don't Touch This - Secret Data Vault,price,6.99
3557,Disney Karaoke: Frozen,price,6.99
2016,Wayward Souls,price,6.99
4844,Shadow Wolf Mysteries: Tracks of Terror - A Hidden Object Adventure (Full),price,6.99
5288,Ominous Objects: Trail of Time HD (Full),price,6.99
4737,House of 1000 Doors: Evil Inside HD - A Hidden Object Adventure (Full),price,6.99
730,The Amazing Spider-Man,price,6.99
4734,Nevertales: Legends - A Hidden Object Adventure (Full),price,6.99
4846,Dead Reckoning: Brassfield Manor - A Mystery Hidden Object Game  (Full),price,6.99
4584,Dangerous Games: Illusionist HD - A Magical Hidden Object Mystery (Full),price,6.99
5114,Punished Talents: Stolen Awards HD - A Mystery Hidden Object Game (Full),price,6.99
4633,Myths of the World: Black Rose HD - A Hidden Object Adventure (Full),price,6.99
5096,Fear for Sale: City of the Past HD - A Hidden Object Mystery (Full),price,6.99
4399,Modern Essentials,price,6.99
4386,Subliminal Realms: The Masterpiece HD - A Hidden Object Mystery (Full),price,6.99
2438,Guitar Pro,price,6.99
4693,Forbidden Desert,price,6.99
5015,Moana: Rhythm Run,price,6.99
2133,D&D Lords of Waterdeep,price,6.99
4606,Grim Tales: The Heir - A Mystery Hidden Object Game (Full),price,6.99
4697,Danse Macabre: Deadly Deception - A Mystery Hidden Object Game (Full),price,6.99
4377,Dark Romance: The Swan Sonata HD - A Mystery Hidden Object Game (Full),price,6.99
5303,Dark Dimensions: City of Ash HD - A Mystery Hidden Object Game (Full),price,6.99
5087,Whispered Secrets: Into the Beyond - A Hidden Object Adventure (Full),price,6.99
5560,Final Cut: The True Escapade HD - A Hidden Object Mystery Game (Full),price,6.99
780,"Printer Pro - Print photos, pdf and emails",price,6.99
4706,Dark Dimensions: Homecoming HD - A Hidden Object Mystery (Full),price,6.99
4159,Ref Guide for Essential Oils,price,6.99
5002,Virtual Gastric Band Hypnosis - Lose Weight Fast!,price,6.99
4387,iBunkoHD,price,6.99
3814,"Alarm Clock Sleep Sounds Pro: Guided Meditation for Relaxation Cycle, Hypnosis and insomnia",price,6.99
4922,Party Hard Go,price,6.99
6855,PrestoBand Guitar and Piano,price,6.99
4149,Living Legends: Bound by Wishes - A Hidden Object Mystery (Full),price,6.99
932,Calendars 5 - Daily Planner and Task Manager,price,6.99
5007,Redemption Cemetery: Clock of Fate - A Mystery Hidden Object Game (Full),price,6.99
4874,The Secret Order: The Buried Kingdom HD (Full),price,6.99
4596,The Agency of Anomalies: Mind Invasion HD - A Hidden Object Adventure (Full),price,6.99
4718,Haunted Hotel: Eternity - A Mystery Hidden Object Game (Full),price,6.99
3015,Machines at War 3 RTS,price,6.99
4595,Midnight Calling: Anabel - A Mystery Hidden Object Game (Full),price,6.99
5268,Off the Record: The Final Interview (Full),price,6.99
3567,GraphNCalc83,price,6.99
4429,Dark Tales: Edgar Allan Poe’s The Mystery of Marie Roget HD - A Hidden Object Mystery (Full),price,6.99
4949,Off the Record: Liberty Stone - A Mystery Hidden Object Game (Full),price,6.99
7154,HOOP J for Basketball Scores,price,6.99
5904,Fear For Sale: Nightmare Cinema HD - A Mystery Hidden Object Game (Full),price,6.99
3101,Clip Video Download Pro.,price,6.99
4816,Myths of the World: The Heart of Desolation - A Hidden Object Adventure (Full),price,6.99
1065,Call of Duty®: Strike Team,price,6.99
6008,Mystery Tales: The Twilight World HD - A Hidden Object Adventure (Full),price,6.99
4004,Dark Parables: Queen of Sands - A Mystery Hidden Object Game (Full),price,6.99
4779,Grim Tales: Threads of Destiny - A Hidden Object Mystery (Full),price,6.99
5208,Shadow Wolf Mysteries: Curse of Wolfhill (Full),price,6.99
3127,Transport Tycoon,price,6.99
5181,Phantasmat: The Endless Night HD - A Mystery Hidden Object Game (Full),price,6.99
4811,European Mystery: Flowers of Death HD (Full),price,6.99
4951,Danse Macabre: Lethal Letters - A Mystery Hidden Object Game (Full),price,6.99
5128,Spirits of Mystery: Chains of Promise - A Hidden Object Adventure (Full),price,6.99
3943,Broken Sword 5 - the Serpent's Curse,price,6.99
3144,Sentinels of the Multiverse,price,6.99
4791,Witches' Legacy: Slumbering Darkness HD - A Hidden Object Mystery (Full),price,6.99
4804,Fear for Sale: The House on Black River (Full),price,6.99
4802,Timepage for iPad – Calendar by Moleskine,price,6.99
18,Minecraft: Pocket Edition,price,6.99
3167,PAW Patrol Rescue Run HD,price,6.99
5459,Momoka: An Interplanetary Adventure,price,6.99
4801,Haunted Legends: The Secret of Life - A Mystery Hidden Object Game (Full),price,6.99
4959,Secrets of the Dark: Eclipse Mountain Collector's Edition HD (Full),price,6.99
4514,Shot Tracer,price,6.99
4796,Grim Facade: Hidden Sins - A Hidden Object Mystery (Full),price,6.99
4973,Secrets of the Dark: Mystery of the Ancestral Estate HD - A Mystery Hidden Object Game (Full),price,6.99
4466,Mystery Tales: Her Own Eyes HD - A Hidden Object Mystery (Full),price,6.99
2575,AO Creator - Creator for Pokémon,price,6.99
5232,Sable Maze: Soul Catcher HD - A Mystery Hidden Object Game (Full),price,6.99
2517,Agricola,price,6.99
3680,Castles of Mad King Ludwig,price,6.99
4690,Dark Romance: Kingdom of Death HD - A Hidden Object Adventure (Full),price,6.99
4833,PuppetShow: The Face of Humanity (Full),price,6.99
4829,Amaranthine Voyage: The Obsidian Book - A Hidden Object Adventure (Full),price,6.99
479,Grand Theft Auto: San Andreas,price,6.99
5139,Ominous Objects: Phantom Reflection HD - A Hidden Object Adventure (Full),price,6.99
5140,Echoes of the Past: Wolf Healer HD (Full),price,6.99
3049,Autumn Dynasty Warlords,price,6.99
4570,Mystery Trackers: Winterpoint Tragedy - A Hidden Object Adventure (Full),price,6.99
4755,Train Drive ATS 2,price,6.99
4935,Hidden Expedition: Dawn of Prosperity - A Mystery Hidden Object Game (Full),price,6.99
4936,The Curio Society: New Order HD (Full) - Adventure,price,6.99
5513,My PriceQuote,price,6.99
4756,Mystery Trackers: Nightsville Horror HD - A Hidden Object Adventure (Full),price,6.99
1086,The Amazing Spider-Man 2,price,6.99
2740,Stone Age: The Board Game,price,6.99
4824,Mystery Trackers: Paxton Creek Avengers - A Mystery Hidden Object Game (Full),price,6.99
4764,Royal Detective: Legend of The Golem - A Hidden Object Adventure (Full),price,6.99
4765,Small Town Terrors: Galdor's Bluff HD - A Magical Hidden Object Mystery (Full),price,6.99
4766,The Curio Society: Eclipse over Mesina HD - A Hidden Object Mystery (Full),price,6.99
5884,Amaranthine Voyage: The Shadow of Torment HD - A Magical Hidden Object Adventure (Full),price,6.99
4956,Final Cut: Fame Fatale - A Hidden Object Adventure (Full),price,6.99
4770,Phantasmat: The Dread of Oakville - A Mystery Hidden Object Game (Full),price,6.99
4771,Chimeras: The Signs of Prophecy - A Hidden Object Adventure (Full),price,6.99
5074,Amaranthine Voyage: The Orb of Purity (Full),price,6.99
605,Modern Combat 3: Fallen Nation,price,6.99
181,Call of Duty: Black Ops Zombies,price,6.99
4664,Immortal Love: Letter From The Past Collector's Edition - A Magical Hidden Object Game (Full),price,6.99
4904,Dark Tales: Edgar Allan Poe’s The Tell-tale Heart - A Hidden Object Mystery (Full),price,6.99
3787,"Questerium: Sinister Trinity, Collector's Edition HD (Full)",price,6.99
826,iTranslate Voice - Speak & Translate in Real Time,price,6.99
4295,Mystery of the Ancients: Mud Water Creek (Full),price,6.99
4648,Fear For Sale: Phantom Tide HD - A Scary Hidden Object Mystery (Full),price,6.99
4890,Phantasmat: Behind the Mask (Full),price,6.99
2182,Royal Trouble: Hidden Adventures HD (Full),price,6.99
816,Gangstar Rio: City of Saints,price,6.99
4638,The Secret Order: Beyond Time HD - A Hidden Object Adventure (Full),price,6.99
4897,Cadenza: Havana Nights (Full),price,6.99
5051,Vampire Legends: Untold Story of Elizabeth (Full),price,6.99
4663,Surface: Return to Another World - A Hidden Object Adventure (Full),price,6.99
4293,Dark Parables: Goldilocks and Fallen Star (Full),price,6.99
3771,The EO Bar,price,6.99
4275,ACDSee Pro,price,6.99
4621,Surface: Alone in the Mist - A Hidden Object Mystery (Full),price,6.99
4619,Dark Dimensions: Shadow Pirouette HD - A Scary Hidden Object Game (Full),price,6.99
2892,Mystery Case Files: 13th Skull HD - A Hidden Object Adventure (Full),price,6.99
4676,Beyond: Light Advent Collector's Edition (Full),price,6.99
2907,realMyst,price,6.99
2304,Grand Theft Auto: Liberty City Stories,price,6.99
5024,Witches' Legacy: The Dark Throne HD (Full),price,6.99
3718,Christmas Stories: Nutcracker Collector's Edition HD (Full),price,6.99
4618,Grim Tales: The Final Suspect - A Hidden Object Mystery (Full),price,6.99
7044,Periodic Table Chemistry,price,6.99
5053,Final Cut: Fade To Black - A Mystery Hidden Object Game (Full),price,6.99
4322,Maze: Subject 360 HD - A Mystery Hidden Object Game (Full),price,6.99
5605,"Witches' Legacy: Hunter and the Hunted HD - Hidden Objects, Adventure & Magic (Full)",price,6.99
1312,Home Design 3D - 3D Printing Edition,price,6.99
857,N.O.V.A. 3 - Near Orbit Vanguard Alliance,price,6.99
4661,Mystery Case Files: Ravenhearst Unlocked - A Hidden Object Adventure (Full),price,6.99
3747,Blaze and the Monster Machines - Racing Game HD,price,6.99
332,The Sims 3,price,6.99
4650,Haunted Hotel: The X (Full),price,6.99
5030,Danse Macabre: Thin Ice - A Mystery Hidden Object Game (Full),price,6.99
5028,Haunted Hotel: Phoenix - A Mystery Hidden Object Game (Full),price,6.99
5361,Jamie Oliver's Ultimate Recipes,price,6.99
4612,Mystery Tales: Alaskan Wild HD - A Mystery Hidden Object Adventure (Full),price,6.99
3765,Dreampath - The Two Kingdoms HD - A Magical Hidden Object Game (Full),price,6.99
3731,League of Light: Silent Mountain - A Hidden Object Mystery (Full),price,6.99
4654,Sable Maze: Twelve Fears HD - A Mystery Hidden Object Game (Full),price,6.99
5647,Magic Trick #6,price,6.99
4682,Agatha Christie - The ABC Murders (FULL),price,6.99
4256,Mystery Case Files: Key To Ravenhearst - A Mystery Hidden Object Game (Full),price,6.99
877,Modern Combat 4: Zero Hour,price,6.99
2162,Planes Live - Flight Status Tracker and Radar,price,6.99
5317,Secrets of the Dark: The Flower of Shadow (Full),price,6.99
2379,Bully: Anniversary Edition,price,6.99
6240,Pan Book 4: Capitol Rising,price,5.99
3594,SMART Notebook for iPad,price,5.99
6413,Pan Book 5: The Shadow Stone,price,5.99
2831,VPN Proxy Master Pro,price,5.99
6114,ごちうさアラーム～チノ編～,price,5.99
5371,Empyrean,price,5.99
6965,CITB MAP HS&E test 2016,price,5.99
5920,Mileage Log | Fahrtenbuch,price,5.99
6926,箱庭シティ鉄道,price,5.99
6497,Kanazawa Shogi 2,price,5.99
6058,Pronoun Fill-In Super Fun Deck,price,5.99
5671,KQ MiniSynth,price,5.99
1296,"Procreate – Sketch, paint, create.",price,5.99
6035,"Please, Don't Touch Anything 3D",price,5.99
2289,Cute CUT Pro - Full Featured Video Editor,price,5.99
2569,"Stock Market Pro: Stock Trading, Charts & Alerts",price,5.99
1630,Air Video HD - Now with multitasking and PiP support!,price,5.99
6970,ごちうさアラーム　～ココア編～,price,5.99
1270,A Charlie Brown Christmas + iMessage Sticker Pack!,price,5.99
3266,Pan Book 1: The Fearless Beribolt,price,5.99
6426,SmartForm - 見積書・納品書・請求書・領収書作成ソフトの新定番！,price,5.99
6345,南国物語,price,5.99
6231,Pan Book 3: Key to the Capitol,price,5.99
6746,Pan Book 6: The Alliance of Tribes,price,5.99
1852,Nom Nom Paleo,price,5.99
5261,Saga of the North Wind,price,5.99
4744,Samurai of Hyuga Book 2,price,5.99
4488,Eisenhorn: XENOS,price,5.99
1585,UPAD 3,price,5.99
6895,テニスクラブ物語,price,5.99
6246,ゲームセンター倶楽部,price,5.99
6992,CITB op/spec HS&E test 2016,price,5.99
5959,Pan Book 7: Han Awakening,price,5.99
3368,Pan Book 2: Chasing the Keeper,price,5.99
6244,ごちうさアラーム～リゼ編～,price,5.99
2947,Forgotten Memories: Alternate Realities,price,5.99
2170,Facetune for iPad,price,5.99
4348,Metro 2033: Wars,price,5.99
2699,Dust: An Elysian Tail,price,5.99
2795,Pacific Fleet,price,5.99
2122,RollerCoaster Tycoon® Classic,price,5.99
4631,Heuristic Shakespeare - The Tempest,price,5.99
1690,FileBrowser - Access files on remote computers,price,5.99
6892,ごちうさアラーム～シャロ編～,price,5.99
5625,Mersenne Melodic Percussion Synthesizer,price,5.99
2985,"It's The Great Pumpkin, Charlie Brown",price,5.99
2112,PetWorld 3D: My Animal Rescue Premium,price,5.99
2430,Guild of Dungeoneering,price,5.99
2710,SamCard Pro-card reader&business card scanner&ocr,price,5.99
2038,Find my Fitbit - Finder app for lost fitbits,price,5.99
1458,F18 Carrier Landing,price,5.99
3397,iZip Pro - Zip Unzip Unrar Tool,price,5.99
1707,Touchgrind BMX,price,4.99
1007,Instant Heart Rate+: Heart Rate & Pulse Monitor,price,4.99
3574,Battle Supremacy: Evolution,price,4.99
1080,Star Walk - Find Stars And Planets in Sky Above,price,4.99
977,"Photo Lab PRO HD: frames for pictures, face sketch",price,4.99
1242,Deus Ex: The Fall,price,4.99
3578,Sorcery! 2,price,4.99
1241,Leo's Fortune,price,4.99
4912,Shadow Blade: Reload,price,4.99
1034,STREET FIGHTER IV VOLT,price,4.99
6258,ミリオン行進曲,price,4.99
1232,Junk Jack,price,4.99
5189,DM2 - The Drum Machine,price,4.99
3573,Animation & Drawing by Do Ink,price,4.99
3734,Day of the Tentacle Remastered,price,4.99
1274,F-Sim Space Shuttle,price,4.99
1596,Runtastic Road Bike GPS Cycling Route Tracker PRO,price,4.99
1025,Worms 2: Armageddon,price,4.99
3959,Literacy Leveler,price,4.99
6681,合戦!!にんじゃ村,price,4.99
1275,Day One Journal,price,4.99
3625,Road Not Taken,price,4.99
3754,Instaflash Pro,price,4.99
974,PewDiePie: Legend of the Brofist,price,4.99
3637,Live Cams - HD,price,4.99
5172,Pocket Arcade Story,price,4.99
1611,Don't Starve: Pocket Edition,price,4.99
3227,Legend of Grimrock,price,4.99
3925,Relight - Better Photos,price,4.99
1646,Baby Connect (Activity Log),price,4.99
998,5K Runner: 0 to 5K Run Trainer. Couch potato to 5K,price,4.99
3589,The Walking Dead: Michonne - A Telltale Miniseries,price,4.99
4944,Syberia 2 (FULL),price,4.99
1266,Lara Croft GO,price,4.99
1261,Star Walk HD - Night Sky Map,price,4.99
3182,Punch Club,price,4.99
993,LEGO Harry Potter: Years 1-4,price,4.99
1217,Infinite Flight - Flight Simulator,price,4.99
3646,MLB Manager 2016,price,4.99
1673,Bodyweight Training: You Are Your Own Gym,price,4.99
3726,Star Chart Infinite,price,4.99
1664,Battleheart Legacy,price,4.99
641,NBA JAM by EA SPORTS™,price,4.99
4809,Retro City Rampage DX,price,4.99
3444,Pocket League Story,price,4.99
3210,LetterSchool - learn to write letters and numbers,price,4.99
6023,ゲーム発展国＋＋,price,4.99
6671,G1牧場ステークス,price,4.99
1244,Tobuscus Adventures: Wizards,price,4.99
5043,Gym Log+ — Workout and Fitness Tracker,price,4.99
661,Photon Flash Player for iPad - Flash Video & Games plus Private Web Browser,price,4.99
4940,Game Studio Tycoon 3 – Gaming Business Simulation,price,4.99
3477,F1 2016,price,4.99
3175,The LEGO® Movie Video Game,price,4.99
1642,Assassin's Creed Identity,price,4.99
1035,Word Swag - Cool fonts & typography generator,price,4.99
3178,XtraMath,price,4.99
3654,"Maps 3D PRO - GPS for Bike, Hike, Ski & Outdoor",price,4.99
4820,Hero Generations,price,4.99
4953,Whispering Willows,price,4.99
3645,Export Messages - Save Print Backup Recover Text SMS iMessages,price,4.99
3915,BUBBLE BOBBLE DOUBLE,price,4.99
1343,"Tiny Scanner+ - PDF scanner to scan document, receipt & fax",price,4.99
3666,Hard Time VIP (Prison Sim),price,4.99
1148,Machinarium,price,4.99
4871,InsPad - Instagram for iPad,price,4.99
5017,Photon Safe Web Browser with Flash Player for Kids,price,4.99
3501,Popplet,price,4.99
3715,Galaxy Trucker Pocket,price,4.99
4925,PAW Patrol Pups Take Flight HD,price,4.99
1155,Alto's Adventure,price,4.99
1416,NBA JAM by EA SPORTS™ for iPad,price,4.99
1417,Dictionary.com Premium Dictionary & Thesaurus for iPad,price,4.99
5099,Go Rally,price,4.99
